#	Program:featureCounts	v2.1.1	Command:"featureCounts"	"-a"	"ref.gtf"	"-o"	"count.txt"	"-t"	"gene"	"-g"	"gene_id"	"-s"	"1"	"SRR10379721_1_trimmed_mapped.bam"	"SRR10379722_1_trimmed_mapped.bam"	"SRR10379723_1_trimmed_mapped.bam"	"SRR10379724_1_trimmed_mapped.bam"	"SRR10379725_1_trimmed_mapped.bam"	"SRR10379726_1_trimmed_mapped.bam"
Geneid	Chr	Start	End	Strand	Length	SRR10379721_1_trimmed_mapped.bam	SRR10379722_1_trimmed_mapped.bam	SRR10379723_1_trimmed_mapped.bam	SRR10379724_1_trimmed_mapped.bam	SRR10379725_1_trimmed_mapped.bam	SRR10379726_1_trimmed_mapped.bam
SAOUHSC_00787	NC_007795.1	768883	769794	+	912	3561	3575	2249	5356	8902	898
SAOUHSC_00788	NC_007795.1	769791	770786	+	996	11184	12340	7161	26936	35526	16595
SAOUHSC_00789	NC_007795.1	770896	771840	+	945	16557	15930	10626	27925	38963	8150
SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	38	32	22	184	168	14
SAOUHSC_00790	NC_007795.1	772413	773000	+	588	18711	14848	11070	13485	10543	1380
SAOUHSC_00792	NC_007795.1	773243	774145	-	903	2834	2641	1961	14444	15545	4406
SAOUHSC_00793	NC_007795.1	774848	775477	+	630	6223	6729	4630	24300	44455	15417
SAOUHSC_00794	NC_007795.1	776119	777132	+	1014	38596	30429	24579	101826	74452	33441
SAOUHSC_00795	NC_007795.1	777185	778195	+	1011	57751	47745	34630	300819	266923	93834
SAOUHSC_00796	NC_007795.1	778334	779524	+	1191	14324	10545	8363	85439	81018	21427
SAOUHSC_00797	NC_007795.1	779646	780407	+	762	14123	11728	8966	79059	89891	22610
SAOUHSC_00798	NC_007795.1	780410	781927	+	1518	28476	21978	17274	146930	154296	86796
SAOUHSC_00799	NC_007795.1	782057	783361	+	1305	39621	31154	21424	153747	148764	104077
SAOUHSC_00800	NC_007795.1	783701	784159	+	459	4195	3146	4176	6091	7550	249
SAOUHSC_00801	NC_007795.1	784226	784459	+	234	9368	8964	7113	8311	13524	5813
SAOUHSC_00802	NC_007795.1	784575	785315	+	741	16247	17010	14691	9156	12617	1992
SAOUHSC_00803	NC_007795.1	785349	787721	+	2373	71161	74360	62658	49149	56245	11343
SAOUHSC_00804	NC_007795.1	787743	788207	+	465	15604	15560	13432	10718	14441	3400
SAOUHSC_00806	NC_007795.1	789529	789852	-	324	1247	730	1309	330	533	46
SAOUHSC_00807	NC_007795.1	789868	790014	-	147	860	489	636	205	243	51
SAOUHSC_00808	NC_007795.1	790206	790934	-	729	2130	1318	1813	852	933	84
SAOUHSC_00809	NC_007795.1	791370	791525	+	156	9	10	6	6	3	1
SAOUHSC_00810	NC_007795.1	791533	792054	+	522	171	205	146	494	900	133
SAOUHSC_00811	NC_007795.1	792193	792723	+	531	798	757	654	1570	2936	489
SAOUHSC_00812	NC_007795.1	792986	795769	+	2784	115356	117855	73936	122773	112154	130582
SAOUHSC_00816	NC_007795.1	797866	798888	+	1023	686	502	412	1812	1530	163
SAOUHSC_00817	NC_007795.1	799223	799693	+	471	438	360	222	951	858	257
SAOUHSC_00818	NC_007795.1	800034	800720	+	687	254	114	160	46	56	5
SAOUHSC_00819	NC_007795.1	801077	801277	+	201	52904	38229	33079	91446	61378	14237
SAOUHSC_00820	NC_007795.1	801773	801991	-	219	1790	1595	1331	3057	2726	276
SAOUHSC_00821	NC_007795.1	802053	802337	-	285	893	895	644	1789	1629	206
SAOUHSC_00822	NC_007795.1	802425	802994	-	570	397	316	221	881	1174	312
SAOUHSC_00823	NC_007795.1	803182	803370	-	189	953	728	909	2273	1922	225
SAOUHSC_00824	NC_007795.1	803399	803659	-	261	911	678	752	2070	2725	312
SAOUHSC_00825	NC_007795.1	804000	804203	+	204	909	687	705	440	401	41
SAOUHSC_00826	NC_007795.1	804200	804436	-	237	4192	4443	2817	14950	14473	943
SAOUHSC_00827	NC_007795.1	804682	805242	+	561	7094	5363	6416	1550	1307	449
SAOUHSC_00828	NC_007795.1	805315	805932	-	618	1683	1262	1351	6099	5572	537
SAOUHSC_00830	NC_007795.1	806087	806581	-	495	8423	6900	6814	7140	6303	463
SAOUHSC_00831	NC_007795.1	806980	807402	-	423	2529	2842	1736	6408	7502	3523
SAOUHSC_00832	NC_007795.1	807550	808266	+	717	679	501	464	485	565	35
SAOUHSC_00833	NC_007795.1	808349	808888	+	540	8641	6865	5823	4280	6507	1388
SAOUHSC_00834	NC_007795.1	809038	809358	-	321	1651	1234	741	2714	2232	837
SAOUHSC_00835	NC_007795.1	809502	809858	+	357	474	365	220	3154	5463	129
SAOUHSC_00836	NC_007795.1	810016	810396	+	381	4234	3545	2594	11955	16605	1044
SAOUHSC_00837	NC_007795.1	810460	810573	+	114	48	52	52	74	150	7
SAOUHSC_00838	NC_007795.1	810575	811453	+	879	1436	1478	1040	1151	1139	112
SAOUHSC_00839	NC_007795.1	811872	811985	+	114	194	179	121	142	142	54
SAOUHSC_00840	NC_007795.1	812195	812581	+	387	1023	1052	741	1574	1378	219
SAOUHSC_00841	NC_007795.1	812574	812870	+	297	544	608	501	1064	1210	157
SAOUHSC_00842	NC_007795.1	813120	814145	+	1026	13354	10424	12966	30740	54169	11150
SAOUHSC_00843	NC_007795.1	814138	814833	+	696	7121	5613	6534	10866	20438	3873
SAOUHSC_00844	NC_007795.1	814851	815672	+	822	15439	11068	15723	16652	37119	3095
SAOUHSC_00845	NC_007795.1	816026	816220	+	195	69299	54929	36959	122786	129951	5855
SAOUHSC_00846	NC_007795.1	816453	817304	-	852	975	799	976	469	360	81
SAOUHSC_00847	NC_007795.1	817632	818393	+	762	55022	57016	42659	26723	26397	6105
SAOUHSC_00848	NC_007795.1	818491	819798	+	1308	105870	98828	79660	44214	37152	8529
SAOUHSC_00849	NC_007795.1	819904	821154	+	1251	117387	109744	89896	45445	47202	19328
SAOUHSC_00850	NC_007795.1	821144	821608	+	465	51869	50001	41101	18440	21082	7114
SAOUHSC_00851	NC_007795.1	821759	823156	+	1398	129589	113043	97875	49858	61821	9542
SAOUHSC_00852	NC_007795.1	823343	823480	+	138	47	46	46	14	19	5
SAOUHSC_00853	NC_007795.1	823486	823800	-	315	81	52	79	295	180	17
SAOUHSC_00854	NC_007795.1	824165	825205	+	1041	1784	1627	1163	6025	6949	1405
SAOUHSC_00855	NC_007795.1	825219	826286	+	1068	1121	1033	705	3034	4028	2351
SAOUHSC_00857	NC_007795.1	826353	826451	+	99	41	50	39	46	81	47
SAOUHSC_00858	NC_007795.1	826499	827347	+	849	929	771	520	1440	1716	127
SAOUHSC_00859	NC_007795.1	827360	828187	+	828	626	452	389	954	1101	232
SAOUHSC_00860	NC_007795.1	828214	829533	+	1320	1929	1542	1100	2648	3263	373
SAOUHSC_00861	NC_007795.1	829617	830534	+	918	10284	9689	7089	17576	18960	4082
SAOUHSC_00862	NC_007795.1	830664	831047	+	384	718	643	465	1353	1369	140
SAOUHSC_00863	NC_007795.1	831126	831392	-	267	908	690	584	878	1010	46
SAOUHSC_00864	NC_007795.1	831490	831924	+	435	309	297	213	899	1070	46
SAOUHSC_00865	NC_007795.1	831924	832703	+	780	937	723	644	1982	2031	337
SAOUHSC_00866	NC_007795.1	832811	833695	+	885	2076	1659	1355	2893	3465	644
SAOUHSC_00867	NC_007795.1	833949	834059	+	111	1	1	2	5	13	22
SAOUHSC_00868	NC_007795.1	834107	834259	+	153	341	346	422	2250	8187	188
SAOUHSC_00869	NC_007795.1	834275	835732	+	1458	12428	11018	8812	35581	53923	3362
SAOUHSC_00870	NC_007795.1	835729	836943	+	1215	7162	5733	5674	14780	14784	649
SAOUHSC_00871	NC_007795.1	836961	837197	+	237	1686	1314	1668	3087	5520	179
SAOUHSC_00872	NC_007795.1	837194	838369	+	1176	12351	9545	9021	18378	19875	1037
SAOUHSC_00873	NC_007795.1	838632	838874	-	243	7027	4408	4478	6250	5376	987
SAOUHSC_00874	NC_007795.1	838975	839298	+	324	1106	566	873	447	451	51
SAOUHSC_00875	NC_007795.1	839357	840421	-	1065	10925	8513	7054	8832	8234	3321
SAOUHSC_00876	NC_007795.1	840738	840974	+	237	1229	904	590	1929	3002	462
SAOUHSC_00877	NC_007795.1	840987	841346	+	360	1792	1437	881	2946	3091	797
SAOUHSC_00878	NC_007795.1	841800	843008	+	1209	17253	13285	10612	25308	27267	6330
SAOUHSC_00879	NC_007795.1	843139	844614	+	1476	1868	1401	937	2505	3564	476
SAOUHSC_00880	NC_007795.1	845025	846341	+	1317	7802	6764	5228	9835	6258	1061
SAOUHSC_00881	NC_007795.1	846360	846734	+	375	4821	4074	3171	4564	4747	765
SAOUHSC_00882	NC_007795.1	846790	847944	-	1155	8203	4266	3453	258	408	63
SAOUHSC_00883	NC_007795.1	848193	848549	-	357	2481	1624	1692	3706	4511	456
SAOUHSC_00884	NC_007795.1	848527	848820	-	294	807	680	523	1432	1437	742
SAOUHSC_00885	NC_007795.1	848820	849299	-	480	2958	2493	2372	5447	9268	807
SAOUHSC_00886	NC_007795.1	849301	850797	-	1497	7306	6363	5073	13566	16120	2384
SAOUHSC_00887	NC_007795.1	850790	851119	-	330	1745	1526	1170	3425	5206	503
SAOUHSC_00888	NC_007795.1	851131	851559	-	429	1716	1423	1196	3747	4458	499
SAOUHSC_00889	NC_007795.1	851552	853957	-	2406	8184	7276	5183	21653	28323	4063
SAOUHSC_00890	NC_007795.1	854088	854471	-	384	117	96	70	418	516	49
SAOUHSC_00891	NC_007795.1	854535	855128	+	594	4511	3277	2592	5074	5236	2586
SAOUHSC_00892	NC_007795.1	855577	855921	+	345	5835	5357	3658	6979	8766	2170
SAOUHSC_00893	NC_007795.1	856283	857410	+	1128	1280	1056	595	3179	5501	1745
SAOUHSC_00894	NC_007795.1	857718	858908	+	1191	5237	5724	2865	15187	19464	2737
SAOUHSC_00895	NC_007795.1	859017	860261	+	1245	17249	17013	10720	24148	31411	7489
SAOUHSC_00896	NC_007795.1	860487	860678	+	192	1988	1786	1048	840	846	908
SAOUHSC_00897	NC_007795.1	860764	861693	-	930	974	723	901	630	939	105
SAOUHSC_00898	NC_007795.1	861935	863314	-	1380	32931	29731	43587	1137	7383	569
SAOUHSC_00899	NC_007795.1	863304	864509	-	1206	16616	14923	21639	940	7070	1307
SAOUHSC_00900	NC_007795.1	864860	866191	+	1332	9457	6791	5227	21540	21533	3184
SAOUHSC_00901	NC_007795.1	866516	867091	+	576	1682	1307	1223	4024	7003	391
SAOUHSC_00902	NC_007795.1	867096	867620	+	525	2230	2024	1714	3707	5678	1123
SAOUHSC_00903	NC_007795.1	867744	868211	+	468	2698	2347	1677	2749	3564	268
SAOUHSC_00904	NC_007795.1	868371	871847	+	3477	5409	4757	3928	5848	7292	877
SAOUHSC_00905	NC_007795.1	871848	875501	+	3654	12557	10210	9408	10733	12812	2372
SAOUHSC_00906	NC_007795.1	875667	876569	+	903	9382	7571	5715	20044	25542	7518
SAOUHSC_00907	NC_007795.1	876898	877287	+	390	1429	959	928	1394	1498	488
SAOUHSC_00908	NC_007795.1	877458	878774	-	1317	5995	5327	3346	11728	13178	4773
SAOUHSC_00909	NC_007795.1	878826	879650	-	825	2236	1939	1274	3671	3999	700
SAOUHSC_00910	NC_007795.1	879806	880072	+	267	2882	3081	1910	5815	7443	914
SAOUHSC_00911	NC_007795.1	880619	882433	+	1815	2602	1503	1686	533	524	37
SAOUHSC_00912	NC_007795.1	882636	885245	+	2610	370584	361268	242583	59105	18970	1753
SAOUHSC_00913	NC_007795.1	885304	886173	-	870	71	36	47	51	54	1
SAOUHSC_00914	NC_007795.1	886283	887428	+	1146	601	876	591	48	35	3
SAOUHSC_00915	NC_007795.1	887412	888053	+	642	307	447	385	72	82	7
SAOUHSC_00916	NC_007795.1	888046	889164	+	1119	200	205	191	93	73	10
SAOUHSC_00917	NC_007795.1	889148	889663	+	516	193	263	159	140	178	20
SAOUHSC_00919	NC_007795.1	890665	890850	-	186	1612	1275	984	3807	2753	122
SAOUHSC_00920	NC_007795.1	891145	892086	+	942	1937	1589	1526	4057	7644	3215
SAOUHSC_00921	NC_007795.1	892098	893342	+	1245	8377	6759	5967	17764	27707	16662
SAOUHSC_00922	NC_007795.1	893397	893768	-	372	63	25	27	230	168	6
SAOUHSC_00923	NC_007795.1	894011	894937	+	927	482	392	360	5170	4802	463
SAOUHSC_00924	NC_007795.1	894937	896007	+	1071	678	579	547	4829	5566	1098
SAOUHSC_00925	NC_007795.1	896024	897106	+	1083	1410	1317	1342	7920	11618	3093
SAOUHSC_00926	NC_007795.1	897096	898037	+	942	1691	1270	1678	8287	12464	3037
SAOUHSC_00927	NC_007795.1	898056	899711	+	1656	7137	4862	6327	22671	30735	6599
SAOUHSC_00928	NC_007795.1	899923	901638	+	1716	492	261	272	448	712	108
SAOUHSC_00929	NC_007795.1	901689	902675	+	987	147	99	87	155	253	19
SAOUHSC_00930	NC_007795.1	902678	903658	+	981	175	102	90	135	239	53
SAOUHSC_00931	NC_007795.1	903651	904613	+	963	188	86	125	151	237	20
SAOUHSC_00932	NC_007795.1	904625	905506	+	882	582	333	367	359	490	125
SAOUHSC_00933	NC_007795.1	905548	906537	-	990	3921	2652	3210	5072	6377	533
SAOUHSC_00934	NC_007795.1	906832	907227	+	396	377054	306469	282993	203502	252730	36559
SAOUHSC_00935	NC_007795.1	907598	908317	+	720	34135	29778	19185	31494	39584	3337
SAOUHSC_00936	NC_007795.1	908438	909424	+	987	222	194	202	52	73	6
SAOUHSC_00937	NC_007795.1	909472	911280	+	1809	1234	826	703	5900	8246	822
SAOUHSC_00938	NC_007795.1	911740	912546	-	807	3333	2489	2124	3529	4255	466
SAOUHSC_00939	NC_007795.1	912569	912886	-	318	1280	919	747	2160	2576	193
SAOUHSC_00940	NC_007795.1	913038	913631	-	594	461	335	226	1246	956	71
SAOUHSC_00941	NC_007795.1	913817	914164	+	348	1447	1187	976	2071	2984	121
SAOUHSC_00942	NC_007795.1	914181	914816	+	636	3880	3306	2516	4798	6804	964
SAOUHSC_00943	NC_007795.1	914833	915642	+	810	6744	5595	4375	7056	7921	1531
SAOUHSC_00944	NC_007795.1	915639	916493	+	855	2091	1612	1496	2320	3274	464
SAOUHSC_00945	NC_007795.1	916514	917899	+	1386	3428	3074	2635	3860	6252	1147
SAOUHSC_00946	NC_007795.1	917909	919753	+	1845	6004	4939	4622	7446	8784	1208
SAOUHSC_00947	NC_007795.1	920031	920801	+	771	11071	8647	7315	13874	13729	1611
SAOUHSC_00948	NC_007795.1	920996	922081	-	1086	3866	3146	2839	12009	11991	665
SAOUHSC_00949	NC_007795.1	922423	923991	+	1569	654	783	425	17230	19863	2313
SAOUHSC_00950	NC_007795.1	924133	924891	+	759	726	623	528	2318	2349	253
SAOUHSC_00951	NC_007795.1	925085	925594	+	510	9897	7018	6395	13970	15276	1082
SAOUHSC_00952	NC_007795.1	925707	926915	-	1209	6615	4356	4447	3350	2927	253
SAOUHSC_00953	NC_007795.1	926875	928050	-	1176	7184	5293	4810	5786	6702	606
SAOUHSC_00954	NC_007795.1	928483	929964	+	1482	4702	3886	3755	4789	6173	1661
SAOUHSC_00955	NC_007795.1	929948	930208	+	261	893	623	917	749	1430	197
SAOUHSC_00956	NC_007795.1	930208	931770	+	1563	10746	7887	9366	7628	9825	2195
SAOUHSC_00957	NC_007795.1	932072	932875	+	804	3647	3252	2326	8363	6949	4107
SAOUHSC_00958	NC_007795.1	933094	935418	+	2325	2376	1746	1796	2120	2990	262
SAOUHSC_00959	NC_007795.1	935435	936793	+	1359	7202	5291	5873	4573	5661	538
SAOUHSC_00960	NC_007795.1	936932	938443	+	1512	2495	1580	1673	4285	4746	720
SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	274	213	107	163	11	302
SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	293	244	295	102	38	73
SAOUHSC_00961	NC_007795.1	938930	939460	-	531	15701	9743	17175	524	539	52
SAOUHSC_00962	NC_007795.1	939709	939927	+	219	2803	2979	1616	40328	64018	13464
SAOUHSC_00963	NC_007795.1	940008	940994	-	987	1381	1002	839	1870	3311	218
SAOUHSC_00964	NC_007795.1	941193	941369	+	177	1765	1566	1226	2131	2339	78
SAOUHSC_00965	NC_007795.1	941384	941986	+	603	6111	4391	5006	7747	6051	680
SAOUHSC_00966	NC_007795.1	942257	942364	+	108	2138	1746	988	1986	616	1522
SAOUHSC_00967	NC_007795.1	942903	943004	+	102	2	0	2	2	9	1
SAOUHSC_00968	NC_007795.1	943330	945294	+	1965	290	193	234	882	917	119
SAOUHSC_00969	NC_007795.1	945297	945617	+	321	197	124	192	217	285	26
SAOUHSC_00970	NC_007795.1	945614	946255	+	642	532	342	380	379	295	49
SAOUHSC_00971	NC_007795.1	946343	946633	-	291	984	526	1001	1006	279	38
SAOUHSC_00972	NC_007795.1	946912	947199	+	288	110	76	79	380	361	21
SAOUHSC_00973	NC_007795.1	947205	948687	+	1483	2480	1613	1751	2474	2450	162
SAOUHSC_00975	NC_007795.1	948776	949132	-	357	746	508	482	4081	3533	98
SAOUHSC_00976	NC_007795.1	949716	950579	+	864	888	664	694	287	269	57
SAOUHSC_00977	NC_007795.1	950625	950756	-	132	498	487	276	2328	2825	210
SAOUHSC_00978	NC_007795.1	950820	951110	-	291	71	59	63	154	115	8
SAOUHSC_00979	NC_007795.1	951200	951751	+	552	279	185	127	620	673	66
SAOUHSC_00980	NC_007795.1	951802	952740	-	939	8171	5085	6792	3962	4363	478
SAOUHSC_00981	NC_007795.1	952891	952995	+	105	289	209	156	148	108	20
SAOUHSC_00982	NC_007795.1	953072	954283	+	1212	2545	1783	1561	1325	1413	121
SAOUHSC_00983	NC_007795.1	954270	955943	+	1674	7231	5403	3991	6647	8497	2102
SAOUHSC_00984	NC_007795.1	955930	956733	+	804	4862	3263	3040	3667	4204	657
SAOUHSC_00985	NC_007795.1	956726	957547	+	822	11981	9419	6861	11619	11436	3668
SAOUHSC_00986	NC_007795.1	957786	958115	-	330	2072	1078	1794	314	429	50
SAOUHSC_00987	NC_007795.1	958153	959334	-	1182	5672	3141	5300	942	1050	125
SAOUHSC_00988	NC_007795.1	959416	960426	-	1011	3915	2093	3798	427	497	176
SAOUHSC_00989	NC_007795.1	960954	962108	-	1155	2336	2175	1618	8507	13214	1411
SAOUHSC_00991	NC_007795.1	962304	963314	-	1011	622	533	548	1328	1174	73
SAOUHSC_00992	NC_007795.1	963467	963886	+	420	1617	1049	1434	292	255	16
SAOUHSC_00993	NC_007795.1	963913	964023	+	111	339	221	293	63	40	2
SAOUHSC_00994	NC_007795.1	964093	967863	-	3771	24661	23483	23448	61613	61983	18883
SAOUHSC_00995	NC_007795.1	968091	968525	-	435	361	303	268	628	798	184
SAOUHSC_00996	NC_007795.1	968680	969150	-	471	14119	8543	10014	7494	9153	573
SAOUHSC_00997	NC_007795.1	969198	970415	-	1218	26089	17238	19566	16047	23620	3255
SAOUHSC_00998	NC_007795.1	970866	972059	+	1194	12155	7908	11491	1944	1815	72
SAOUHSC_00999	NC_007795.1	972596	972874	-	279	12019	11135	7185	19355	14687	2399
SAOUHSC_01000	NC_007795.1	972883	973488	-	606	24763	23203	16671	39582	40118	10810
SAOUHSC_01001	NC_007795.1	973478	975466	-	1989	72880	71865	53766	131411	148722	56460
SAOUHSC_01002	NC_007795.1	975466	976566	-	1101	30338	31802	22912	71163	85386	18285
SAOUHSC_01003	NC_007795.1	976868	976990	+	123	56	15	53	28	37	3
SAOUHSC_01005	NC_007795.1	977138	977455	-	318	24241	20180	18071	9826	18062	759
SAOUHSC_01007	NC_007795.1	978261	979121	-	861	19716	14004	13806	11947	14941	1713
SAOUHSC_01008	NC_007795.1	979385	979804	+	420	1662	1872	1144	6977	7377	3186
SAOUHSC_01009	NC_007795.1	979791	980915	+	1125	4790	5480	3664	14253	23846	3862
SAOUHSC_01010	NC_007795.1	980919	981623	+	705	1438	1558	1087	4036	7304	1797
SAOUHSC_01011	NC_007795.1	981623	981886	+	264	1199	1129	881	2912	3561	459
SAOUHSC_01012	NC_007795.1	981888	982559	+	672	3492	3488	2667	7472	13383	2254
SAOUHSC_01013	NC_007795.1	982552	984741	+	2190	19702	17622	14656	41218	42479	14853
SAOUHSC_01014	NC_007795.1	984720	986204	+	1485	21144	17335	16209	40572	44974	8934
SAOUHSC_01015	NC_007795.1	986197	987225	+	1029	17736	15235	14622	32380	41186	12009
SAOUHSC_01016	NC_007795.1	987228	987794	+	567	11552	9608	9628	18912	29090	4546
SAOUHSC_01017	NC_007795.1	987809	989287	+	1479	34131	28671	27911	51081	75095	15885
SAOUHSC_01018	NC_007795.1	989309	990556	+	1248	50440	36777	40074	62557	70791	23298
SAOUHSC_01019	NC_007795.1	990821	991627	-	807	2467	1484	2324	955	1009	67
SAOUHSC_01021	NC_007795.1	991620	993020	-	1401	5900	4869	5269	3886	4207	906
SAOUHSC_01022	NC_007795.1	993035	993610	-	576	1494	1203	1318	2260	2466	470
SAOUHSC_01023	NC_007795.1	993974	994093	+	120	96	59	71	27	31	9
SAOUHSC_01024	NC_007795.1	994194	994328	-	135	1460	1347	742	5100	5015	98
SAOUHSC_01025	NC_007795.1	994480	995775	+	1296	16339	15317	13296	25781	31663	5294
SAOUHSC_01026	NC_007795.1	996200	997372	+	1173	1140	1016	830	2503	3951	512
SAOUHSC_01027	NC_007795.1	997426	997968	+	543	7792	7250	5001	20014	14662	5883
SAOUHSC_01028	NC_007795.1	998122	998388	+	267	10985	10948	6920	24370	19946	7242
SAOUHSC_01029	NC_007795.1	998391	1000109	+	1719	83798	84256	54078	149179	131527	32746
SAOUHSC_01030	NC_007795.1	1000346	1000579	-	234	536	302	340	455	304	11
SAOUHSC_01031	NC_007795.1	1000777	1002138	+	1362	10081	7460	6136	5191	5512	1085
SAOUHSC_01032	NC_007795.1	1002135	1003154	+	1020	7991	5845	4808	4315	5054	294
SAOUHSC_01034	NC_007795.1	1003287	1003949	+	663	6586	5607	3979	6107	8700	2579
SAOUHSC_A00992	NC_007795.1	1003967	1004122	+	156	1399	1423	879	1173	1284	393
SAOUHSC_01035	NC_007795.1	1004298	1005995	-	1698	24740	17652	13383	34004	30025	3136
SAOUHSC_01036	NC_007795.1	1005995	1006213	-	219	1809	1254	1175	2955	4470	260
SAOUHSC_01037	NC_007795.1	1006242	1006364	-	123	118	138	101	353	780	5
SAOUHSC_01038	NC_007795.1	1006694	1007245	-	552	2197	1409	1303	2075	2062	290
SAOUHSC_01039	NC_007795.1	1007610	1008236	+	627	3451	2158	2096	5620	6293	260
SAOUHSC_01040	NC_007795.1	1008407	1009519	+	1113	36499	33823	25290	33033	21597	7496
SAOUHSC_01041	NC_007795.1	1009523	1010500	+	978	28659	24578	19249	26371	15055	12835
SAOUHSC_01042	NC_007795.1	1010591	1011883	+	1293	58926	52990	39515	55737	34744	18771
SAOUHSC_01043	NC_007795.1	1011887	1013293	+	1407	81577	65015	52206	80878	36959	13097
SAOUHSC_01044	NC_007795.1	1013461	1013736	+	276	772	623	516	1000	1302	238
SAOUHSC_01045	NC_007795.1	1013880	1014419	+	540	1280	1422	1246	1267	2165	87
SAOUHSC_01046	NC_007795.1	1014432	1015526	+	1095	2384	2766	2319	1717	3023	129
SAOUHSC_01047	NC_007795.1	1015519	1016316	+	798	1107	1118	1128	617	1027	84
SAOUHSC_01048	NC_007795.1	1016322	1017131	+	810	2417	2360	2391	1246	1813	108
SAOUHSC_01049	NC_007795.1	1017131	1018204	+	1074	6584	6173	5590	4954	5880	4232
SAOUHSC_01050	NC_007795.1	1018278	1019297	+	1020	38236	28767	30230	32200	48008	6478
SAOUHSC_01051	NC_007795.1	1019580	1019999	+	420	1233	856	654	3629	5025	606
SAOUHSC_01053	NC_007795.1	1020081	1021433	-	1353	1004	558	748	496	600	51
SAOUHSC_01054	NC_007795.1	1021617	1022231	-	615	1123	695	445	1742	2060	241
SAOUHSC_01055	NC_007795.1	1022388	1023215	+	828	19590	14844	12638	8914	9202	3410
SAOUHSC_01055a	NC_007795.1	1023369	1023560	-	192	2017	1599	1519	2701	3203	417
SAOUHSC_01058	NC_007795.1	1023662	1025509	+	1848	20880	14680	17383	14279	11572	2387
SAOUHSC_01060	NC_007795.1	1025649	1025816	-	168	852	728	586	1085	1218	132
SAOUHSC_01061	NC_007795.1	1025818	1026300	-	483	1814	1267	1257	2457	2626	240
SAOUHSC_01062	NC_007795.1	1026441	1026716	+	276	2809	2278	1888	6670	4890	347
SAOUHSC_01063	NC_007795.1	1027030	1028256	+	1227	4660	3374	3252	6183	7480	862
SAOUHSC_01064	NC_007795.1	1028810	1032262	+	3453	18250	14449	11930	53746	51822	13017
SAOUHSC_01065	NC_007795.1	1032402	1033472	-	1071	5346	4053	3618	7385	8293	1924
SAOUHSC_01066	NC_007795.1	1033753	1034664	+	912	3647	4384	2500	9633	10703	1816
SAOUHSC_01067	NC_007795.1	1034689	1035150	+	462	2877	2782	2067	6523	8445	434
SAOUHSC_01068	NC_007795.1	1035362	1035565	+	204	11	5	6	8	16	2
SAOUHSC_01069	NC_007795.1	1035477	1036514	+	1038	3580	2925	2324	5301	6385	682
SAOUHSC_01070	NC_007795.1	1036530	1036964	+	435	1895	1499	1232	2319	2571	401
SAOUHSC_01071	NC_007795.1	1037027	1037953	-	927	1426	1061	794	2306	3796	668
SAOUHSC_01072	NC_007795.1	1038192	1038446	+	255	491	396	265	987	998	27
SAOUHSC_01073	NC_007795.1	1038449	1038838	-	390	199	150	114	399	329	29
SAOUHSC_01074	NC_007795.1	1038980	1039450	+	471	1229	769	952	1048	1642	369
SAOUHSC_01075	NC_007795.1	1039452	1039934	+	483	2602	1550	2007	1838	2266	345
SAOUHSC_01076	NC_007795.1	1039996	1041135	-	1140	349	243	195	451	493	54
SAOUHSC_01077	NC_007795.1	1041262	1041819	+	558	48627	40226	44269	25224	24970	3104
SAOUHSC_01078	NC_007795.1	1041899	1042073	+	175	11772	7900	11084	6535	8253	1015
SAOUHSC_01079	NC_007795.1	1042227	1044164	-	1938	1101	725	744	355	405	72
SAOUHSC_01081	NC_007795.1	1044368	1045420	-	1053	855	533	465	1560	2895	404
SAOUHSC_01082	NC_007795.1	1045629	1046312	+	684	194	165	119	323	381	35
SAOUHSC_01084	NC_007795.1	1046312	1047388	+	1077	389	256	259	342	500	16
SAOUHSC_01085	NC_007795.1	1047415	1048263	+	849	303	217	176	152	207	17
SAOUHSC_01086	NC_007795.1	1048276	1049052	+	777	103	73	69	68	115	10
SAOUHSC_01087	NC_007795.1	1048947	1049240	+	294	50	43	35	32	34	6
SAOUHSC_01088	NC_007795.1	1049302	1050036	+	735	139	81	98	76	100	13
SAOUHSC_01089	NC_007795.1	1050055	1050378	+	324	100	53	71	43	87	3
SAOUHSC_01090	NC_007795.1	1050415	1050522	+	108	6	2	1	1	0	0
SAOUHSC_01091	NC_007795.1	1050762	1051502	+	741	2298	1764	1625	4521	4789	682
SAOUHSC_01092	NC_007795.1	1051883	1052941	+	1059	878	820	589	1404	1591	420
SAOUHSC_01093	NC_007795.1	1052941	1055343	+	2403	5050	3646	3393	7918	10019	1603
SAOUHSC_01095	NC_007795.1	1055514	1056452	-	939	677	496	389	963	1055	264
SAOUHSC_01096	NC_007795.1	1056822	1057082	+	261	1453	1184	1061	1645	2037	199
SAOUHSC_01097	NC_007795.1	1057090	1057611	+	522	2540	1875	1644	2129	2083	84
SAOUHSC_01098	NC_007795.1	1057684	1059396	+	1713	5322	4234	2999	4235	3945	332
SAOUHSC_01099	NC_007795.1	1059406	1061754	+	2349	10001	8261	6446	8953	8835	1510
SAOUHSC_01100	NC_007795.1	1061927	1062241	+	315	9452	7647	4144	16060	13649	1384
